,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Total,147108,155002,302110,,,,,,,,,,
,Habiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,145362,148085,293447,,,,,,,,,,
,, Hindu,18011,17238,35249,,,,,,,,,,
,, Christian,56,48,104,,,,,,,,,,
,, Buddhist,20,13,33,,,,,,,,,,
,, Other,127,133,260,,,,,,,,,,
,, Total,163576,165517,329093,,,,,,,,,,
,Lakhai,,Male,Female,Total,,,,,,,,,,
,, Muslim,60518,67379,127897,,,,,,,,,,
,, Hindu,10150,10682,20832,,,,,,,,,,
,, Christian,12,11,23,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,34,24,58,,,,,,,,,,
,, Total,70714,78097,148811,,,,,,,,,,
,Madhabpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,124899,132068,256967,,,,,,,,,,
,, Hindu,30480,30579,61059,,,,,,,,,,
,, Christian,472,460,932,,,,,,,,,,
,, Buddhist,13,6,19,,,,,,,,,,
,, Other,18,21,39,,,,,,,,,,
,, Total,155882,163134,319016,,,,,,,,,,
,Nabiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,142443,147358,289801,,,,,,,,,,
,, Hindu,27018,27815,54833,,,,,,,,,,
,, Christian,32,17,49,,,,,,,,,,
,, Buddhist,81,98,179,,,,,,,,,,
,, Other,146,171,317,,,,,,,,,,
,, Total,169720,175459,345179,,,,,,,,,,
,Barlekha,,Male,Female,Total,,,,,,,,,,
,, Muslim,104209,112533,216742,,,,,,,,,,
,, Hindu,19003,19647,38650,,,,,,,,,,
,, Christian,963,924,1887,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,199,137,336,,,,,,,,,,
,, Total,124377,133243,257620,,,,,,,,,,
,Juri,,Male,Female,Total,,,,,,,,,,
,, Muslim,47075,50196,97271,,,,,,,,,,
,, Hindu,24348,23716,48064,,,,,,,,,,
,, Christian,272,258,530,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,1542,1546,3088,,,,,,,,,,
,, Total,73240,75718,148958,,,,,,,,,,
,Kamalganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,85560,88926,174486,,,,,,,,,,
,, Hindu,40509,40825,81334,,,,,,,,,,
,, Christian,1164,1107,2271,,,,,,,,,,
,, Buddhist,10,7,17,,,,,,,,,,
,, Other,503,519,1022,,,,,,,,,,
,, Total,127746,131384,259130,,,,,,,,,,
,Kulaura,,Male,Female,Total,,,,,,,,,,
,, Muslim,137729,146139,283868,,,,,,,,,,
,, Hindu,34895,35110,70005,,,,,,,,,,
,, Christian,3032,2956,5988,,,,,,,,,,
,, Buddhist,43,30,73,,,,,,,,,,
,, Other,133,128,261,,,,,,,,,,
,, Total,175832,184363,360195,,,,,,,,,,
,Maulvibazar,,Male,Female,Total,,,,,,,,,,
,, Muslim,144893,144124,289017,,,,,,,,,,
,, Hindu,26507,26448,52955,,,,,,,,,,
,, Christian,170,105,275,,,,,,,,,,
,, Buddhist,25,25,50,,,,,,,,,,
,, Other,83,88,171,,,,,,,,,,
,, Total,171678,170790,342468,,,,,,,,,,
,Rajnagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,87439,93131,180570,,,,,,,,,,
,, Hindu,25598,26269,51867,,,,,,,,,,
,, Christian,60,73,133,,,,,,,,,,
,, Buddhist,3,1,4,,,,,,,,,,
,, Other,49,43,92,,,,,,,,,,
,, Total,113149,119517,232666,,,,,,,,,,
,Sreemangal,,Male,Female,Total,,,,,,,,,,
,, Muslim,91565,92267,183832,,,,,,,,,,
,, Hindu,64563,64536,129099,,,,,,,,,,
,, Christian,2128,2138,4266,,,,,,,,,,
,, Buddhist,38,33,71,,,,,,,,,,
,, Other,412,345,757,,,,,,,,,,
,, Total,158706,159319,318025,,,,,,,,,,
,Bishwambarpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,69482,69115,138597,,,,,,,,,,
,, Hindu,8635,9043,17678,,,,,,,,,,
,, Christian,31,27,58,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,26,21,47,,,,,,,,,,
,, Total,78175,78206,156381,,,,,,,,,,
,Chhatak,,Male,Female,Total,,,,,,,,,,
,, Muslim,186052,188383,374435,,,,,,,,,,
,, Hindu,11799,11218,23017,,,,,,,,,,
,, Christian,6,8,14,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,93,79,172,,,,,,,,,,
,, Total,197952,199690,397642,,,,,,,,,,
,Dakshin Sunamganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,82117,83891,166008,,,,,,,,,,
,, Hindu,8836,8935,17771,,,,,,,,,,
,, Christian,1,4,5,,,,,,,,,,
,, Buddhist,4,11,15,,,,,,,,,,
,, Other,39,43,82,,,,,,,,,,
,, Total,90997,92884,183881,,,,,,,,,,
,Derai,,Male,Female,Total,,,,,,,,,,
,, Muslim,90308,88914,179222,,,,,,,,,,
,, Hindu,32233,32052,64285,,,,,,,,,,
,, Christian,41,37,78,,,,,,,,,,
,, Buddhist,5,6,11,,,,,,,,,,
,, Other,49,45,94,,,,,,,,,,
,, Total,122636,121054,243690,,,,,,,,,,
,Dharampasha,,Male,Female,Total,,,,,,,,,,
,, Muslim,94127,92733,186860,,,,,,,,,,
,, Hindu,17408,17833,35241,,,,,,,,,,
,, Christian,523,503,1026,,,,,,,,,,
,, Other,40,35,75,,,,,,,,,,
,, Total,112098,111104,223202,,,,,,,,,,
,Dowarabazar,,Male,Female,Total,,,,,,,,,,
,, Muslim,106965,110790,217755,,,,,,,,,,
,, Hindu,5091,5263,10354,,,,,,,,,,
,, Christian,139,130,269,,,,,,,,,,
,, Buddhist,8,3,11,,,,,,,,,,
,, Other,37,34,71,,,,,,,,,,
,, Total,112240,116220,228460,,,,,,,,,,
,Jagannathpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,117059,116804,233863,,,,,,,,,,
,, Hindu,12873,12693,25566,,,,,,,,,,
,, Christian,7,5,12,,,,,,,,,,
,, Buddhist,3,3,6,,,,,,,,,,
,, Other,22,21,43,,,,,,,,,,
,, Total,129964,129526,259490,,,,,,,,,,
,Jamalganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,70447,68372,138819,,,,,,,,,,
,, Hindu,14149,14270,28419,,,,,,,,,,
,, Buddhist,5,-,5,,,,,,,,,,
,, Other,11,6,17,,,,,,,,,,
,, Total,84612,82648,167260,,,,,,,,,,
,Sulla,,Male,Female,Total,,,,,,,,,,
,, Muslim,30759,29518,60277,,,,,,,,,,
,, Hindu,26553,26902,53455,,,,,,,,,,
,, Christian,1,2,3,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,3,4,7,,,,,,,,,,
,, Total,57316,56427,113743,,,,,,,,,,
,Sunamganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,125701,125553,251254,,,,,,,,,,
,, Hindu,13299,13370,26669,,,,,,,,,,
,, Christian,337,351,688,,,,,,,,,,
,, Buddhist,11,5,16,,,,,,,,,,
,, Other,213,179,392,,,,,,,,,,
,, Total,139561,139458,279019,,,,,,,,,,
,Tahirpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,101361,96084,197445,,,,,,,,,,
,, Hindu,8763,8158,16921,,,,,,,,,,
,, Christian,358,334,692,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,73,68,141,,,,,,,,,,
,, Total,110555,104645,215200,,,,,,,,,,
,Balaganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,144096,148160,292256,,,,,,,,,,
,, Hindu,13803,14029,27832,,,,,,,,,,
,, Christian,2,3,5,,,,,,,,,,
,, Buddhist,4,-,4,,,,,,,,,,
,, Other,70,60,130,,,,,,,,,,
,, Total,157975,162252,320227,,,,,,,,,,
,Beani Bazar,,Male,Female,Total,,,,,,,,,,
,, Muslim,119293,125160,244453,,,,,,,,,,
,, Hindu,4637,4510,9147,,,,,,,,,,
,, Christian,2,4,6,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,5,3,8,,,,,,,,,,
,, Total,123939,129677,253616,,,,,,,,,,
,Bishwanath,,Male,Female,Total,,,,,,,,,,
,, Muslim,110593,111800,222393,,,,,,,,,,
,, Hindu,5105,4960,10065,,,,,,,,,,
,, Christian,26,8,34,,,,,,,,,,
,, Buddhist,2,5,7,,,,,,,,,,
,, Other,37,37,74,,,,,,,,,,
,, Total,115763,116810,232573,,,,,,,,,,
,Companiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,82809,77973,160782,,,,,,,,,,
,, Hindu,6690,6264,12954,,,,,,,,,,
,, Christian,7,5,12,,,,,,,,,,
,, Buddhist,5,5,10,,,,,,,,,,
,, Other,138,133,271,,,,,,,,,,
,, Total,89649,84380,174029,,,,,,,,,,
,Dakshin Surma,,Male,Female,Total,,,,,,,,,,
,, Muslim,121207,122234,243441,,,,,,,,,,
,, Hindu,5082,4817,9899,,,,,,,,,,
,, Christian,2,2,4,,,,,,,,,,
,, Buddhist,5,1,6,,,,,,,,,,
,, Other,19,19,38,,,,,,,,,,
,, Total,126315,127073,253388,,,,,,,,,,
,Fenchuganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,45418,48013,93431,,,,,,,,,,
,, Hindu,5653,5643,11296,,,,,,,,,,
,, Christian,2,4,6,,,,,,,,,,
,, Other,4,4,8,,,,,,,,,,
,, Total,51077,53664,104741,,,,,,,,,,
,Golapganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,147527,154952,302479,,,,,,,,,,
,, Hindu,6687,6916,13603,,,,,,,,,,
,, Christian,16,13,29,,,,,,,,,,
,, Buddhist,6,5,11,,,,,,,,,,
,, Other,13,14,27,,,,,,,,,,
,, Total,154249,161900,316149,,,,,,,,,,
,Gowainghat,,Male,Female,Total,,,,,,,,,,
,, Muslim,133309,133399,266708,,,,,,,,,,
,, Hindu,9814,9517,19331,,,,,,,,,,
,, Christian,457,448,905,,,,,,,,,,
,, Buddhist,139,130,269,,,,,,,,,,
,, Other,158,141,299,,,,,,,,,,
,, Total,143877,143635,287512,,,,,,,,,,
,Jaintiapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,73468,73672,147140,,,,,,,,,,
,, Hindu,6964,6923,13887,,,,,,,,,,
,, Christian,97,102,199,,,,,,,,,,
,, Buddhist,1,2,3,,,,,,,,,,
,, Other,239,276,515,,,,,,,,,,
,, Total,80769,80975,161744,,,,,,,,,,
,Kanaighat,,Male,Female,Total,,,,,,,,,,
,, Muslim,124805,130135,254940,,,,,,,,,,
,, Hindu,4355,4375,8730,,,,,,,,,,
,, Christian,134,114,248,,,,,,,,,,
,, Buddhist,3,3,6,,,,,,,,,,
,, Other,22,23,45,,,,,,,,,,
,, Total,129319,134650,263969,,,,,,,,,,
,Sylhet,,Male,Female,Total,,,,,,,,,,
,, Muslim,389654,349304,738958,,,,,,,,,,
,, Hindu,45958,42113,88071,,,,,,,,,,
,, Christian,474,514,988,,,,,,,,,,
,, Buddhist,200,128,328,,,,,,,,,,
,, Other,393,365,758,,,,,,,,,,
,, Total,436679,392424,829103,,,,,,,,,,
,Zakiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,105532,108253,213785,,,,,,,,,,
,, Hindu,11817,11522,23339,,,,,,,,,,
,, Christian,4,7,11,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,117354,119783,237137,,,,,,,,,,
,Total,,Male,Female,Total,,,,,,,,,,
,, Muslim,65124065,65080752,130204817,,,,,,,,,,
,, Hindu,6213676,6086305,12299981,,,,,,,,,,
,, Christian,221349,225661,447010,,,,,,,,,,
,, Buddhist,449511,440210,889721,,,,,,,,,,
,, Other,101195,100972,202167,,,,,,,,,,
,, Total,72109796,71933900,144043696,,,,,,,,,,
